Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|Q06828|FMOD_HUMAN	Q06828	FMOD_HUMAN	FMOD	376	false	false	Homo sapiens	Fibromodulin	1:Experimental evidence at protein level	10.64	1.0000	0.9914	0.00000000000000	2	2	2	2	2	2	984706.75	984706.75	984706.75			
sp|Q08380|LG3BP_HUMAN	Q08380	LG3BP_HUMAN	LGALS3BP	585	false	false	Homo sapiens	Galectin-3-binding protein	1:Experimental evidence at protein level	20.17	1.0000	0.9990	0.00000000000000	8	8	8	8	8	8	1.5395751E7	1.5395751E7	1.5395751E7			
sp|Q08629|TICN1_HUMAN	Q08629	TICN1_HUMAN	SPOCK1	439	false	false	Homo sapiens	Testican-1	1:Experimental evidence at protein level	10.48	1.0000	0.9957	0.00000000000000	3	3	3	3	3	3	2963962.5	2963962.5	2963962.5			
sp|Q12805|FBLN3_HUMAN	Q12805	FBLN3_HUMAN	EFEMP1	493	false	false	Homo sapiens	EGF-containing fibulin-like extracellular matrix protein 1	1:Experimental evidence at protein level	15.01	1.0000	0.9990	0.00000000000000	5	5	5	5	5	5	2.1732092E7	2.1732092E7	2.1732092E7			
sp|Q12841|FSTL1_HUMAN	Q12841	FSTL1_HUMAN	FSTL1	308	false	false	Homo sapiens	Follistatin-related protein 1	1:Experimental evidence at protein level	5.19	1.0000	0.9970	0.00000000000000	2	2	2	2	2	2	1175550.5	1175550.5	1175550.5			
sp|Q12860|CNTN1_HUMAN	Q12860	CNTN1_HUMAN	CNTN1	1018	false	false	Homo sapiens	Contactin-1	1:Experimental evidence at protein level	37.13	1.0000	0.9990	0.00000000000000	28	28	28	30	30	30	2.7533296E7	2.7533296E7	2.7533296E7			
sp|Q12907|LMAN2_HUMAN	Q12907	LMAN2_HUMAN	LMAN2	356	false	false	Homo sapiens	Vesicular integral-membrane protein VIP36	1:Experimental evidence at protein level	27.53	1.0000	0.9989	0.00000000000000	6	6	6	6	6	6	6434879.5	6434879.5	6434879.5			
sp|Q13228|SBP1_HUMAN	Q13228	SBP1_HUMAN	SELENBP1	472	false	false	Homo sapiens	Methanethiol oxidase	1:Experimental evidence at protein level	7.42	1.0000	0.9987	0.00000000000000	3	3	3	3	3	3	1638888.5	1638888.5	1638888.5			
sp|Q13332|PTPRS_HUMAN	Q13332	PTPRS_HUMAN	PTPRS	1948	false	false	Homo sapiens	Receptor-type tyrosine-protein phosphatase S	1:Experimental evidence at protein level	1.85	1.0000	0.9990	0.00000000000000	2	2	2	2	2	2	2072843.0	2072843.0	2072843.0			
sp|Q13449|LSAMP_HUMAN	Q13449	LSAMP_HUMAN	LSAMP	338	false	false	Homo sapiens	Limbic system-associated membrane protein	1:Experimental evidence at protein level	21.01	1.0000	0.9990	0.00000000000000	6	6	6	6	6	6	1.802208E7	1.802208E7	1.802208E7			
sp|Q13508|NAR3_HUMAN	Q13508	NAR3_HUMAN	ART3	389	false	false	Homo sapiens	Ecto-ADP-ribosyltransferase 3	1:Experimental evidence at protein level	6.17	1.0000	0.9831	0.00000000000000	2	2	2	2	2	2	1247758.4	1247758.4	1247758.4			
sp|Q13740|CD166_HUMAN	Q13740	CD166_HUMAN	ALCAM	583	false	false	Homo sapiens	CD166 antigen	1:Experimental evidence at protein level	10.29	1.0000	0.9985	0.00000000000000	5	5	5	5	5	5	3582716.5	3582716.5	3582716.5			
sp|Q13822|ENPP2_HUMAN	Q13822	ENPP2_HUMAN	ENPP2	863	false	false	Homo sapiens	Autotaxin	1:Experimental evidence at protein level	19.35	1.0000	0.9990	0.00000000000000	14	14	14	15	15	15	4.405348E7	4.405348E7	4.405348E7			
sp|Q14118|DAG1_HUMAN	Q14118	DAG1_HUMAN	DAG1	895	false	false	Homo sapiens	Dystroglycan 1	1:Experimental evidence at protein level	11.40	1.0000	0.9990	0.00000000000000	7	7	7	8	8	8	1.0823631E7	1.0823631E7	1.0823631E7			
sp|Q14515|SPRL1_HUMAN	Q14515	SPRL1_HUMAN	SPARCL1	664	false	false	Homo sapiens	SPARC-like protein 1	1:Experimental evidence at protein level	20.93	1.0000	0.9990	0.00000000000000	8	8	8	8	8	8	1.1696854E7	1.1696854E7	1.1696854E7			
sp|Q14624|ITIH4_HUMAN	Q14624	ITIH4_HUMAN	ITIH4	930	false	false	Homo sapiens	Inter-alpha-trypsin inhibitor heavy chain H4	1:Experimental evidence at protein level	27.85	1.0000	0.9990	0.00000000000000	17	17	17	17	17	17	8859829.0	8859829.0	8859829.0			
sp|Q15113|PCOC1_HUMAN	Q15113	PCOC1_HUMAN	PCOLCE	449	false	false	Homo sapiens	Procollagen C-endopeptidase enhancer 1	1:Experimental evidence at protein level	14.92	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	7880931.0	7880931.0	7880931.0			
sp|Q15582|BGH3_HUMAN	Q15582	BGH3_HUMAN	TGFBI	683	false	false	Homo sapiens	Transforming growth factor-beta-induced protein ig-h3	1:Experimental evidence at protein level	7.61	1.0000	0.9989	0.00000000000000	3	3	3	3	3	3	3395317.8	3395317.8	3395317.8			
sp|Q15818|NPTX1_HUMAN	Q15818	NPTX1_HUMAN	NPTX1	432	false	false	Homo sapiens	Neuronal pentraxin-1	1:Experimental evidence at protein level	10.65	1.0000	0.9988	0.00000000000000	5	5	5	6	6	6	4678527.0	4678527.0	4678527.0			
sp|Q15904|VAS1_HUMAN	Q15904	VAS1_HUMAN	ATP6AP1	470	false	false	Homo sapiens	V-type proton ATPase subunit S1	1:Experimental evidence at protein level	19.79	1.0000	0.9989	0.00000000000000	5	5	5	5	5	5	4626989.0	4626989.0	4626989.0			
sp|Q16270|IBP7_HUMAN	Q16270	IBP7_HUMAN	IGFBP7	282	false	false	Homo sapiens	Insulin-like growth factor-binding protein 7	1:Experimental evidence at protein level	12.41	1.0000	0.9990	0.00000000000000	3	3	3	4	4	4	1.7046644E7	1.7046644E7	1.7046644E7			
sp|Q16610|ECM1_HUMAN	Q16610	ECM1_HUMAN	ECM1	540	false	false	Homo sapiens	Extracellular matrix protein 1	1:Experimental evidence at protein level	13.70	1.0000	0.9990	0.00000000000000	6	6	6	6	6	6	5402793.0	5402793.0	5402793.0			
sp|Q53EL9|SEZ6_HUMAN	Q53EL9	SEZ6_HUMAN	SEZ6	994	false	false	Homo sapiens	Seizure protein 6 homolog	1:Experimental evidence at protein level	5.73	1.0000	0.9989	0.00000000000000	4	4	4	4	4	4	1994066.2	1994066.2	1994066.2			
sp|Q6UX71|PXDC2_HUMAN	Q6UX71	PXDC2_HUMAN	PLXDC2	529	false	false	Homo sapiens	Plexin domain-containing protein 2	1:Experimental evidence at protein level	4.35	1.0000	0.9990	0.00000000000000	2	2	2	2	2	2	1062475.5	1062475.5	1062475.5			
sp|Q6UX73|CP089_HUMAN	Q6UX73	CP089_HUMAN	C16orf89	402	false	false	Homo sapiens	UPF0764 protein C16orf89	1:Experimental evidence at protein level	19.90	1.0000	0.9990	0.00000000000000	7	7	7	7	7	7	3104092.0	3104092.0	3104092.0			
sp|Q6UXD5|SE6L2_HUMAN	Q6UXD5	SE6L2_HUMAN	SEZ6L2	910	false	false	Homo sapiens	Seizure 6-like protein 2	1:Experimental evidence at protein level	3.96	1.0000	0.9989	0.00000000000000	3	3	3	3	3	3	1627180.4	1627180.4	1627180.4			
sp|Q7Z3B1|NEGR1_HUMAN	Q7Z3B1	NEGR1_HUMAN	NEGR1	354	false	false	Homo sapiens	Neuronal growth regulator 1	1:Experimental evidence at protein level	13.84	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	3256316.5	3256316.5	3256316.5			
sp|Q7Z7M0|MEGF8_HUMAN	Q7Z7M0	MEGF8_HUMAN	MEGF8	2845	false	false	Homo sapiens	Multiple epidermal growth factor-like domains protein 8	1:Experimental evidence at protein level	3.13	1.0000	0.9989	0.00000000000000	6	6	6	6	6	6	2800538.8	2800538.8	2800538.8			
sp|Q86UX2|ITIH5_HUMAN	Q86UX2	ITIH5_HUMAN	ITIH5	942	false	false	Homo sapiens	Inter-alpha-trypsin inhibitor heavy chain H5	1:Experimental evidence at protein level	7.86	1.0000	0.9988	0.00000000000000	6	6	6	6	6	6	1772453.1	1772453.1	1772453.1			
sp|Q8IWU5|SULF2_HUMAN	Q8IWU5	SULF2_HUMAN	SULF2	870	false	false	Homo sapiens	Extracellular sulfatase Sulf-2	1:Experimental evidence at protein level	2.53	1.0000	0.9990	0.00000000000000	2	2	2	2	2	2	2297388.5	2297388.5	2297388.5			
sp|Q8N126|CADM3_HUMAN	Q8N126	CADM3_HUMAN	CADM3	398	false	false	Homo sapiens	Cell adhesion molecule 3	1:Experimental evidence at protein level	13.07	1.0000	0.9990	0.00000000000000	3	3	3	4	4	4	8580634.0	8580634.0	8580634.0			
sp|Q8NFZ8|CADM4_HUMAN	Q8NFZ8	CADM4_HUMAN	CADM4	388	false	false	Homo sapiens	Cell adhesion molecule 4	1:Experimental evidence at protein level	10.31	1.0000	0.9988	0.00000000000000	3	3	3	3	3	3	7162378.0	7162378.0	7162378.0			
sp|Q8TAG5|VTM2A_HUMAN	Q8TAG5	VTM2A_HUMAN	VSTM2A	236	false	false	Homo sapiens	V-set and transmembrane domain-containing protein 2A	1:Experimental evidence at protein level	14.83	1.0000	0.9990	0.00000000000000	2	2	2	3	3	3	4076011.0	4076011.0	4076011.0			
sp|Q8TEU8|WFKN2_HUMAN	Q8TEU8	WFKN2_HUMAN	WFIKKN2	576	false	false	Homo sapiens	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2	1:Experimental evidence at protein level	7.12	1.0000	0.9908	0.00000000000000	4	4	4	4	4	4	1755741.0	1755741.0	1755741.0			
sp|Q8WXD2|SCG3_HUMAN	Q8WXD2	SCG3_HUMAN	SCG3	468	false	false	Homo sapiens	Secretogranin-3	1:Experimental evidence at protein level	39.32	1.0000	0.9990	0.00000000000000	14	14	14	15	15	15	3.0803352E7	3.0803352E7	3.0803352E7			
sp|Q92520|FAM3C_HUMAN	Q92520	FAM3C_HUMAN	FAM3C	227	false	false	Homo sapiens	Protein FAM3C	1:Experimental evidence at protein level	37.00	1.0000	0.9990	0.00000000000000	7	7	7	7	7	7	1.909972E7	1.909972E7	1.909972E7			
sp|Q92823|NRCAM_HUMAN	Q92823	NRCAM_HUMAN	NRCAM	1304	false	false	Homo sapiens	Neuronal cell adhesion molecule	1:Experimental evidence at protein level	30.60	1.0000	0.9990	0.00000000000000	24	24	24	26	26	26	2.5594172E7	2.5594172E7	2.5594172E7			
sp|Q92859|NEO1_HUMAN	Q92859	NEO1_HUMAN	NEO1	1461	false	false	Homo sapiens	Neogenin	1:Experimental evidence at protein level	8.76	1.0000	0.9990	0.00000000000000	8	8	8	8	8	8	4064601.2	4064601.2	4064601.2			
sp|Q92876|KLK6_HUMAN	Q92876	KLK6_HUMAN	KLK6	244	false	false	Homo sapiens	Kallikrein-6	1:Experimental evidence at protein level	24.59	1.0000	0.9990	0.00000000000000	5	5	5	6	6	6	6.4641088E7	6.4641088E7	6.4641088E7			
sp|Q969P0|IGSF8_HUMAN	Q969P0	IGSF8_HUMAN	IGSF8	613	false	false	Homo sapiens	Immunoglobulin superfamily member 8	1:Experimental evidence at protein level	6.36	1.0000	0.9986	0.00000000000000	4	4	4	4	4	4	2458498.0	2458498.0	2458498.0			
sp|Q96GW7|PGCB_HUMAN	Q96GW7	PGCB_HUMAN	BCAN	911	false	false	Homo sapiens	Brevican core protein	1:Experimental evidence at protein level	1.98	1.0000	0.9909	0.00000000000000	2	2	2	3	3	3	8162177.0	8162177.0	8162177.0			
sp|Q96IY4|CBPB2_HUMAN	Q96IY4	CBPB2_HUMAN	CPB2	423	false	false	Homo sapiens	Carboxypeptidase B2	1:Experimental evidence at protein level	6.62	1.0000	0.9988	0.00000000000000	2	2	2	2	2	2	1120667.5	1120667.5	1120667.5			
sp|Q96KN2|CNDP1_HUMAN	Q96KN2	CNDP1_HUMAN	CNDP1	507	false	false	Homo sapiens	Beta-Ala-His dipeptidase	1:Experimental evidence at protein level	31.95	1.0000	0.9990	0.00000000000000	14	14	14	17	17	17	3.3547462E7	3.3547462E7	3.3547462E7			
sp|Q96PD5|PGRP2_HUMAN	Q96PD5	PGRP2_HUMAN	PGLYRP2	576	false	false	Homo sapiens	N-acetylmuramoyl-L-alanine amidase	1:Experimental evidence at protein level	13.89	1.0000	0.9990	0.00000000000000	5	5	5	5	5	5	7343109.5	7343109.5	7343109.5			
sp|Q96S96|PEBP4_HUMAN	Q96S96	PEBP4_HUMAN	PEBP4	227	false	false	Homo sapiens	Phosphatidylethanolamine-binding protein 4	1:Experimental evidence at protein level	47.14	1.0000	0.9990	0.00000000000000	7	7	7	8	8	8	1.1587386E7	1.1587386E7	1.1587386E7			
sp|Q99435|NELL2_HUMAN	Q99435	NELL2_HUMAN	NELL2	816	false	false	Homo sapiens	Protein kinase C-binding protein NELL2	1:Experimental evidence at protein level	10.42	1.0000	0.9990	0.00000000000000	7	7	7	8	8	8	1.6229215E7	1.6229215E7	1.6229215E7			
sp|Q99969|RARR2_HUMAN	Q99969	RARR2_HUMAN	RARRES2	163	false	false	Homo sapiens	Retinoic acid receptor responder protein 2	1:Experimental evidence at protein level	6.75	1.0000	0.9980	0.00000000000000	1	1	1	2	2	2	1467898.5	1467898.5	1467898.5			
sp|Q9BY67|CADM1_HUMAN	Q9BY67	CADM1_HUMAN	CADM1	442	false	false	Homo sapiens	Cell adhesion molecule 1	1:Experimental evidence at protein level	6.11	1.0000	0.9985	0.00000000000000	2	2	2	2	2	2	1505943.2	1505943.2	1505943.2			
sp|Q9BYH1|SE6L1_HUMAN	Q9BYH1	SE6L1_HUMAN	SEZ6L	1024	false	false	Homo sapiens	Seizure 6-like protein	1:Experimental evidence at protein level	3.12	1.0000	0.9984	0.00000000000000	2	2	2	2	2	2	2277165.8	2277165.8	2277165.8			
sp|Q9C0A0|CNTP4_HUMAN	Q9C0A0	CNTP4_HUMAN	CNTNAP4	1308	false	false	Homo sapiens	Contactin-associated protein-like 4	1:Experimental evidence at protein level	1.68	1.0000	0.9967	0.00000000000000	2	1	2	2	1	2	1234011.1	429146.03	1234011.1			
sp|Q9NQ79|CRAC1_HUMAN	Q9NQ79	CRAC1_HUMAN	CRTAC1	661	false	false	Homo sapiens	Cartilage acidic protein 1	1:Experimental evidence at protein level	14.98	1.0000	0.9990	0.00000000000000	8	8	8	8	8	8	4580008.5	4580008.5	4580008.5			
sp|Q9NT99|LRC4B_HUMAN	Q9NT99	LRC4B_HUMAN	LRRC4B	713	false	false	Homo sapiens	Leucine-rich repeat-containing protein 4B	1:Experimental evidence at protein level	8.56	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	2194363.8	2194363.8	2194363.8			
sp|Q9P121|NTRI_HUMAN	Q9P121	NTRI_HUMAN	NTM	344	false	false	Homo sapiens	Neurotrimin	1:Experimental evidence at protein level	14.24	1.0000	0.9990	0.00000000000000	4	2	4	4	2	4	1.1228805E7	8825629.0	1.1228805E7			
sp|Q9P2S2|NRX2A_HUMAN	Q9P2S2	NRX2A_HUMAN	NRXN2	1712	false	false	Homo sapiens	Neurexin-2	1:Experimental evidence at protein level	3.74	1.0000	0.9986	0.00000000000000	6	2	4	6	2	4	3683985.5	2991724.8	3563045.0			
sp|Q9UBP4|DKK3_HUMAN	Q9UBP4	DKK3_HUMAN	DKK3	350	false	false	Homo sapiens	Dickkopf-related protein 3	1:Experimental evidence at protein level	22.00	1.0000	0.9990	0.00000000000000	6	6	6	6	6	6	3.2700424E7	3.2700424E7	3.2700424E7			
sp|Q9UHG2|PCS1N_HUMAN	Q9UHG2	PCS1N_HUMAN	PCSK1N	260	false	false	Homo sapiens	ProSAAS	1:Experimental evidence at protein level	30.38	1.0000	0.9990	0.00000000000000	5	5	5	5	5	5	1.5538628E7	1.5538628E7	1.5538628E7			
sp|Q9UHI8|ATS1_HUMAN	Q9UHI8	ATS1_HUMAN	ADAMTS1	967	false	false	Homo sapiens	A disintegrin and metalloproteinase with thrombospondin motifs 1	1:Experimental evidence at protein level	5.27	1.0000	0.9990	0.00000000000000	2	2	2	2	2	2	4285034.5	4285034.5	4285034.5			
sp|Q9ULB1|NRX1A_HUMAN	Q9ULB1	NRX1A_HUMAN	NRXN1	1477	false	false	Homo sapiens	Neurexin-1	1:Experimental evidence at protein level	12.80	1.0000	0.9988	0.00000000000000	14	7	14	14	7	14	7564894.0	3165670.5	7564894.0			
sp|Q9UM22|EPDR1_HUMAN	Q9UM22	EPDR1_HUMAN	EPDR1	224	false	false	Homo sapiens	Mammalian ependymin-related protein 1	1:Experimental evidence at protein level	8.93	1.0000	0.9759	0.00000000000000	2	2	2	2	2	2	1146246.5	1146246.5	1146246.5			
sp|Q9Y4C0|NRX3A_HUMAN	Q9Y4C0	NRX3A_HUMAN	NRXN3	1643	false	false	Homo sapiens	Neurexin-3	1:Experimental evidence at protein level	11.26	1.0000	0.9990	0.00000000000000	14	5	11	14	5	11	8089061.0	2429269.8	5467217.0			
sp|Q9Y5Y7|LYVE1_HUMAN	Q9Y5Y7	LYVE1_HUMAN	LYVE1	322	false	false	Homo sapiens	Lymphatic vessel endothelial hyaluronic acid receptor 1	1:Experimental evidence at protein level	5.59	1.0000	0.9978	0.00000000000000	2	2	2	2	2	2	1388153.0	1388153.0	1388153.0			
sp|Q9Y646|CBPQ_HUMAN	Q9Y646	CBPQ_HUMAN	CPQ	472	false	false	Homo sapiens	Carboxypeptidase Q	1:Experimental evidence at protein level	6.36	1.0000	0.9960	0.00000000000000	3	3	3	3	3	3	1877770.9	1877770.9	1877770.9			
sp|A0A0A0MS15|HV349_HUMAN	A0A0A0MS15	HV349_HUMAN	IGHV3-49	119	false	false	Homo sapiens	Immunoglobulin heavy variable 3-49	1:Experimental evidence at protein level	22.69	0.9999	0.9911	0.00000000000000	3	2	2	3	2	2	5564228.0	3589786.5	3589786.5			
sp|P01877|IGHA2_HUMAN	P01877	IGHA2_HUMAN	IGHA2	391	false	false	Homo sapiens	Immunoglobulin heavy constant alpha 2	1:Experimental evidence at protein level	12.28	0.9999	0.9990	0.00000000000000	5	1	1	5	1	1	1.4179224E8	2360343.5	2360343.5			
sp|P02745|C1QA_HUMAN	P02745	C1QA_HUMAN	C1QA	245	false	false	Homo sapiens	Complement C1q subcomponent subunit A	1:Experimental evidence at protein level	13.88	0.9999	0.9835	0.00000000000000	2	2	2	2	2	2	4320002.5	4320002.5	4320002.5			
sp|P40925|MDHC_HUMAN	P40925	MDHC_HUMAN	MDH1	334	false	false	Homo sapiens	Malate dehydrogenase, cytoplasmic	1:Experimental evidence at protein level	8.68	0.9999	0.9917	0.00000000000000	2	2	2	2	2	2	1245518.5	1245518.5	1245518.5			
sp|P61626|LYSC_HUMAN	P61626	LYSC_HUMAN	LYZ	148	false	false	Homo sapiens	Lysozyme C	1:Experimental evidence at protein level	12.84	0.9999	0.9933	0.00000000000000	2	2	2	2	2	2	4549295.0	4549295.0	4549295.0			
sp|P62937|PPIA_HUMAN	P62937	PPIA_HUMAN	PPIA	165	false	false	Homo sapiens	Peptidyl-prolyl cis-trans isomerase A	1:Experimental evidence at protein level	5.45	0.9999	0.9976	0.00000000000000	1	1	1	1	1	1	927084.94	927084.94	927084.94			
sp|Q5KU26|COL12_HUMAN	Q5KU26	COL12_HUMAN	COLEC12	742	false	false	Homo sapiens	Collectin-12	1:Experimental evidence at protein level	2.70	0.9999	0.9842	0.00000000000000	2	2	2	2	2	2	1344466.0	1344466.0	1344466.0			
sp|Q8IV08|PLD3_HUMAN	Q8IV08	PLD3_HUMAN	PLD3	490	false	false	Homo sapiens	5'-3' exonuclease PLD3	1:Experimental evidence at protein level	1.84	0.9999	0.9971	0.00000000000000	1	1	1	1	1	1	345089.9	345089.9	345089.9			
sp|Q9UBQ6|EXTL2_HUMAN	Q9UBQ6	EXTL2_HUMAN	EXTL2	330	false	false	Homo sapiens	Exostosin-like 2	1:Experimental evidence at protein level	6.06	0.9999	0.9922	0.00000000000000	2	2	2	2	2	2	1103962.2	1103962.2	1103962.2			
sp|O14498|ISLR_HUMAN	O14498	ISLR_HUMAN	ISLR	428	false	false	Homo sapiens	Immunoglobulin superfamily containing leucine-rich repeat protein	1:Experimental evidence at protein level	6.07	0.9998	0.9703	0.00000000000000	2	2	2	2	2	2	746152.0	746152.0	746152.0			
sp|P04908|H2A1B_HUMAN	P04908	H2A1B_HUMAN	H2AC4	130	false	false	Homo sapiens	Histone H2A type 1-B/E	1:Experimental evidence at protein level	12.31	0.9998	0.9733	0.00000000000000	2	0	2	2	0	2	5404048.5	0	5404048.5			sp|P0C0S5|H2AZ_HUMAN, sp|P0C0S8|H2A1_HUMAN, sp|P16104|H2AX_HUMAN, sp|P20671|H2A1D_HUMAN, sp|Q16777|H2A2C_HUMAN, sp|Q6FI13|H2A2A_HUMAN, sp|Q71UI9|H2AV_HUMAN, sp|Q7L7L0|H2A3_HUMAN, sp|Q93077|H2A1C_HUMAN, sp|Q96KK5|H2A1H_HUMAN, sp|Q96QV6|H2A1A_HUMAN, sp|Q99878|H2A1J_HUMAN, sp|Q9BTM1|H2AJ_HUMAN
sp|Q06830|PRDX1_HUMAN	Q06830	PRDX1_HUMAN	PRDX1	199	false	false	Homo sapiens	Peroxiredoxin-1	1:Experimental evidence at protein level	10.55	0.9998	0.9935	0.00000000000000	2	1	1	2	1	1	1890678.2	621369.1	621369.1			
sp|Q9H8L6|MMRN2_HUMAN	Q9H8L6	MMRN2_HUMAN	MMRN2	949	false	false	Homo sapiens	Multimerin-2	1:Experimental evidence at protein level	2.21	0.9998	0.9699	0.00000000000000	2	2	2	2	2	2	959462.44	959462.44	959462.44			
sp|Q14982|OPCM_HUMAN	Q14982	OPCM_HUMAN	OPCML	345	false	false	Homo sapiens	Opioid-binding protein/cell adhesion molecule	1:Experimental evidence at protein level	10.72	0.9997	0.9990	0.00000000000000	3	1	1	3	1	1	7798944.0	4663257.5	4663257.5			
sp|Q8NBJ4|GOLM1_HUMAN	Q8NBJ4	GOLM1_HUMAN	GOLM1	401	false	false	Homo sapiens	Golgi membrane protein 1	1:Experimental evidence at protein level	2.24	0.9997	0.9871	0.00000000000000	1	1	1	1	1	1	840454.44	840454.44	840454.44			
sp|Q92820|GGH_HUMAN	Q92820	GGH_HUMAN	GGH	318	false	false	Homo sapiens	Gamma-glutamyl hydrolase	1:Experimental evidence at protein level	4.72	0.9997	0.9931	0.00000000000000	1	1	1	1	1	1	767248.6	767248.6	767248.6			
sp|Q9P0K1|ADA22_HUMAN	Q9P0K1	ADA22_HUMAN	ADAM22	906	false	false	Homo sapiens	Disintegrin and metalloproteinase domain-containing protein 22	1:Experimental evidence at protein level	3.31	0.9997	0.9650	0.00000000000000	2	2	2	2	2	2	985602.6	985602.6	985602.6			
sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	120	false	false	Homo sapiens	Immunoglobulin kappa variable 2-28	3:Protein inferred from homology	23.33	0.9996	0.9985	0.00000000000000	2	0	1	2	0	1	3.2979732E7	0	895693.0			sp|P01615|KVD28_HUMAN
sp|O75882|ATRN_HUMAN	O75882	ATRN_HUMAN	ATRN	1429	false	false	Homo sapiens	Attractin	1:Experimental evidence at protein level	1.19	0.9996	0.9556	0.00273972602740	2	2	2	2	2	2	1090368.9	1090368.9	1090368.9			
sp|P01624|KV315_HUMAN	P01624	KV315_HUMAN	IGKV3-15	115	false	false	Homo sapiens	Immunoglobulin kappa variable 3-15	1:Experimental evidence at protein level	26.09	0.9995	0.9985	0.00000000000000	2	0	2	2	0	2	1.3821729E7	0	1.3821729E7			
sp|Q9Y6R7|FCGBP_HUMAN	Q9Y6R7	FCGBP_HUMAN	FCGBP	5405	false	false	Homo sapiens	IgGFc-binding protein	1:Experimental evidence at protein level	0.22	0.9994	0.9836	0.00000000000000	1	1	1	1	1	1	430527.72	430527.72	430527.72			
sp|P13535|MYH8_HUMAN	P13535	MYH8_HUMAN	MYH8	1937	false	false	Homo sapiens	Myosin-8	1:Experimental evidence at protein level	0.41	0.9993	0.9811	0.00000000000000	1	0	1	1	0	1	354124.75	0	354124.75			
sp|P62736|ACTA_HUMAN	P62736	ACTA_HUMAN	ACTA2	377	false	false	Homo sapiens	Actin, aortic smooth muscle	1:Experimental evidence at protein level	19.63	0.9992	0.9912	0.00000000000000	7	0	1	7	0	1	1.0314558E7	0	857629.56			sp|P63267|ACTH_HUMAN, sp|P68032|ACTC_HUMAN, sp|P68133|ACTS_HUMAN
sp|A0A0C4DH25|KVD20_HUMAN	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	116	false	false	Homo sapiens	Immunoglobulin kappa variable 3D-20	1:Experimental evidence at protein level	21.55	0.9941	0.9786	0.00000000000000	2	1	1	2	1	1	3.6019668E7	2324932.0	2324932.0			
sp|P07900|HS90A_HUMAN	P07900	HS90A_HUMAN	HSP90AA1	732	false	false	Homo sapiens	Heat shock protein HSP 90-alpha	1:Experimental evidence at protein level	3.14	0.9936	0.9770	0.00000000000000	2	1	1	2	1	1	1772333.8	533018.06	533018.06			
sp|A0A087WSY6|KVD15_HUMAN	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	115	false	false	Homo sapiens	Immunoglobulin kappa variable 3D-15	1:Experimental evidence at protein level	26.09	0.9907	0.9666	0.00000000000000	2	1	1	2	1	1	4225790.0	1151884.1	1151884.1			
sp|A0A0C4DH36|HV338_HUMAN	A0A0C4DH36	HV338_HUMAN	IGHV3-38	116	false	false	Homo sapiens	Probable non-functional immunoglobulin heavy variable 3-38	1:Experimental evidence at protein level	15.52	0.9893	0.9983	0.00000000000000	2	1	1	2	1	1	2736650.8	762208.94	762208.94			
sp|A0A075B6S5|KV127_HUMAN	A0A075B6S5	KV127_HUMAN	IGKV1-27	117	false	false	Homo sapiens	Immunoglobulin kappa variable 1-27	1:Experimental evidence at protein level	13.68	0.9833	0.9990	0.00000000000000	1	0	1	1	0	1	2549288.8	0	2549288.8			sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0C4DH69|KV109_HUMAN
sp|A0A0C4DH38|HV551_HUMAN	A0A0C4DH38	HV551_HUMAN	IGHV5-51	117	false	false	Homo sapiens	Immunoglobulin heavy variable 5-51	1:Experimental evidence at protein level	12.82	0.9833	0.9990	0.00000000000000	1	1	1	1	1	1	1950229.8	1950229.8	1950229.8			
sp|O75071|EFC14_HUMAN	O75071	EFC14_HUMAN	EFCAB14	495	false	false	Homo sapiens	EF-hand calcium-binding domain-containing protein 14	1:Experimental evidence at protein level	4.65	0.9833	0.9990	0.00000000000000	1	1	1	1	1	1	751125.2	751125.2	751125.2			
sp|Q9BQT9|CSTN3_HUMAN	Q9BQT9	CSTN3_HUMAN	CLSTN3	956	false	false	Homo sapiens	Calsyntenin-3	1:Experimental evidence at protein level	1.88	0.9833	0.9990	0.00000000000000	1	1	1	1	1	1	986155.8	986155.8	986155.8			
sp|Q9BZR6|RTN4R_HUMAN	Q9BZR6	RTN4R_HUMAN	RTN4R	473	false	false	Homo sapiens	Reticulon-4 receptor	1:Experimental evidence at protein level	5.07	0.9833	0.9990	0.00000000000000	1	1	1	1	1	1	811439.3	811439.3	811439.3			
