Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	control_10_10 Spectral Count	control_1_1 Spectral Count	control_2_2 Spectral Count	control_3_3 Spectral Count	control_4_4 Spectral Count	control_5_5 Spectral Count	control_6_6 Spectral Count	control_7_7 Spectral Count	control_8_8 Spectral Count	control_9_9 Spectral Count	control_10_10 Unique Spectral Count	control_1_1 Unique Spectral Count	control_2_2 Unique Spectral Count	control_3_3 Unique Spectral Count	control_4_4 Unique Spectral Count	control_5_5 Unique Spectral Count	control_6_6 Unique Spectral Count	control_7_7 Unique Spectral Count	control_8_8 Unique Spectral Count	control_9_9 Unique Spectral Count	control_10_10 Total Spectral Count	control_1_1 Total Spectral Count	control_2_2 Total Spectral Count	control_3_3 Total Spectral Count	control_4_4 Total Spectral Count	control_5_5 Total Spectral Count	control_6_6 Total Spectral Count	control_7_7 Total Spectral Count	control_8_8 Total Spectral Count	control_9_9 Total Spectral Count	control_10_10 Intensity	control_1_1 Intensity	control_2_2 Intensity	control_3_3 Intensity	control_4_4 Intensity	control_5_5 Intensity	control_6_6 Intensity	control_7_7 Intensity	control_8_8 Intensity	control_9_9 Intensity	control_10_10 MaxLFQ Intensity	control_1_1 MaxLFQ Intensity	control_2_2 MaxLFQ Intensity	control_3_3 MaxLFQ Intensity	control_4_4 MaxLFQ Intensity	control_5_5 MaxLFQ Intensity	control_6_6 MaxLFQ Intensity	control_7_7 MaxLFQ Intensity	control_8_8 MaxLFQ Intensity	control_9_9 MaxLFQ Intensity	Indistinguishable Proteins
sp|P25311|ZA2G_HUMAN	P25311	ZA2G_HUMAN	AZGP1	298	Homo sapiens	1:Experimental evidence at protein level	Zinc-alpha-2-glycoprotein	1.0	0.999	17	171	171	171	17	17	19	21	16	14	14	17	16	20	17	17	19	21	16	14	14	17	16	20	17	17	19	21	16	14	14	17	16	20	4.6545892E7	6.6363328E7	5.8221504E7	4.914852E7	4.6216908E7	5.5120216E7	5.1868788E7	5.1991472E7	9.4414584E7	4.7023288E7	2.1157888E7	1.8639608E7	2.1605094E7	1.9605726E7	2.1944854E7	1.9883536E7	1.9842656E7	2.3224304E7	2.9659486E7	2.2466278E7	
sp|P25705|ATPA_HUMAN	P25705	ATPA_HUMAN	ATP5F1A	553	Homo sapiens	1:Experimental evidence at protein level	ATP synthase F(1) complex subunit alpha, mitochondrial	0.9998	0.99	2	3	3	3	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1730912.8	526300.3	185532.6	1124891.9	728643.6	1787974.0	325308.22	519006.72	1157869.9	295909.56	1065759.9	323903.47	110607.86	695302.7	451250.72	1059989.2	0.0	0.0	731768.7	0.0	
sp|P25713|MT3_HUMAN	P25713	MT3_HUMAN	MT3	68	Homo sapiens	1:Experimental evidence at protein level	Metallothionein-3	0.8206	0.9959	1	3	3	3	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0.0	0.0	407840.28	464011.78	414271.06	515225.25	787893.6	234700.58	0.0	797308.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P26373|RL13_HUMAN	P26373	RL13_HUMAN	RPL13	211	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL13	1.0	0.9984	3	8	8	8	2	0	0	3	0	3	0	0	0	0	2	0	0	3	0	3	0	0	0	0	2	0	0	3	0	3	0	0	0	0	2429819.5	927514.06	360542.25	1359346.2	1001130.06	2578114.0	1018365.2	1627628.1	1272862.9	473898.44	965585.6	376143.0	229298.77	592305.44	395554.66	1022245.56	398585.16	644790.2	701067.25	260789.4	
sp|P26641|EF1G_HUMAN	P26641	EF1G_HUMAN	EEF1G	437	Homo sapiens	1:Experimental evidence at protein level	Elongation factor 1-gamma	0.9998	0.9894	2	2	2	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1158557.4	340807.12	109726.33	561965.5	235279.11	1091057.1	254815.19	429801.88	564912.25	0.0	619711.1	182771.33	0.0	300727.94	0.0	574662.4	136554.98	230446.58	302019.78	0.0	
sp|P26927|HGFL_HUMAN	P26927	HGFL_HUMAN	MST1	711	Homo sapiens	1:Experimental evidence at protein level	Hepatocyte growth factor-like protein	0.529	0.9837	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	639195.56	0.0	0.0	198627.97	527335.94	0.0	0.0	480843.8	503741.8	306754.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P26992|CNTFR_HUMAN	P26992	CNTFR_HUMAN	CNTFR	372	Homo sapiens	1:Experimental evidence at protein level	Ciliary neurotrophic factor receptor subunit alpha	1.0	0.999	3	11	11	11	1	2	2	2	0	1	1	0	0	2	1	2	2	2	0	1	1	0	0	2	1	2	2	2	0	1	1	0	0	2	1577414.5	2456765.2	3161476.5	3541793.5	3042446.0	2948989.0	3393576.5	2000822.4	1633904.0	2685744.5	1056804.9	1668422.9	2056698.8	2169766.2	1916506.1	1964065.2	2199151.2	1380178.0	1120848.0	1742105.1	
sp|P27169|PON1_HUMAN	P27169	PON1_HUMAN	PON1	355	Homo sapiens	1:Experimental evidence at protein level	Serum paraoxonase/arylesterase 1	1.0	0.999	9	77	64	77	8	6	7	8	8	8	7	8	9	8	7	5	6	6	6	7	6	7	7	7	8	6	7	8	8	8	7	8	9	8	9808219.0	4591111.0	5658434.0	4048656.5	5622585.0	4851144.0	3528872.0	8904386.0	1.6234648E7	6987011.0	4261037.0	1637642.9	1904405.2	1562113.8	2304911.0	1975665.0	1511346.6	3811566.2	6545447.5	2866947.8	
sp|P27348|1433T_HUMAN	P27348	1433T_HUMAN	YWHAQ	245	Homo sapiens	1:Experimental evidence at protein level	14-3-3 protein theta	0.993	0.9726	4	3	0	10	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	4	0	0	0	2	485669.47	229667.25	534857.94	1208964.4	811102.94	478137.38	678936.8	798306.06	1134542.0	575831.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P31946|1433B_HUMAN
sp|P27635|RL10_HUMAN	P27635	RL10_HUMAN	RPL10	214	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein uL16	0.5416	0.9845	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	86013.16	0.0	118803.75	0.0	418901.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P27658|CO8A1_HUMAN	P27658	CO8A1_HUMAN	COL8A1	744	Homo sapiens	1:Experimental evidence at protein level	Collagen alpha-1(VIII) chain	0.3952	0.9722	1	6	6	6	1	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	0	0	796443.06	963227.8	0.0	623733.8	1037921.0	1543627.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P27797|CALR_HUMAN	P27797	CALR_HUMAN	CALR	417	Homo sapiens	1:Experimental evidence at protein level	Calreticulin	1.0	0.9965	2	8	8	8	1	0	1	1	1	1	0	2	0	1	1	0	1	1	1	1	0	2	0	1	1	0	1	1	1	1	0	2	0	1	709802.25	1110183.6	1171474.9	1292166.5	1537290.2	745563.4	1145249.2	2258862.0	651588.56	700518.25	0.0	625163.0	663272.5	750844.9	902951.2	0.0	668589.5	1324875.8	0.0	398894.1	
sp|P29622|KAIN_HUMAN	P29622	KAIN_HUMAN	SERPINA4	427	Homo sapiens	1:Experimental evidence at protein level	Kallistatin	1.0	0.999	14	94	94	94	11	10	11	13	8	8	6	7	10	10	11	10	11	13	8	8	6	7	10	10	11	10	11	13	8	8	6	7	10	10	5751453.0	4384127.0	4269807.5	4403022.5	4284317.5	4868573.0	4141325.2	5136710.5	9795284.0	3994598.8	2663617.0	1642290.9	1801219.5	1901637.0	1920550.6	2412023.0	1619411.5	2243751.8	3103736.2	1660880.8	
sp|P29692|EF1D_HUMAN	P29692	EF1D_HUMAN	EEF1D	281	Homo sapiens	1:Experimental evidence at protein level	Elongation factor 1-delta	0.9998	0.9944	2	3	3	3	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	991981.25	395782.25	0.0	1145776.6	0.0	2157928.2	0.0	0.0	534909.3	0.0	0.0	0.0	0.0	688123.9	0.0	1216525.5	0.0	0.0	0.0	0.0	
sp|P30086|PEBP1_HUMAN	P30086	PEBP1_HUMAN	PEBP1	187	Homo sapiens	1:Experimental evidence at protein level	Phosphatidylethanolamine-binding protein 1	1.0	0.999	7	49	49	49	6	4	5	8	4	6	5	4	3	4	6	4	5	8	4	6	5	4	3	4	6	4	5	8	4	6	5	4	3	4	9854341.0	1.719173E7	1.5650296E7	1.7624554E7	1.436698E7	1.792063E7	1.2992546E7	9990470.0	1.1628047E7	1.1246494E7	5156523.5	7698587.5	6818413.0	8196005.0	6433582.5	7978801.0	6247775.5	4741512.5	4640049.0	5695553.5	
sp|P30101|PDIA3_HUMAN	P30101	PDIA3_HUMAN	PDIA3	505	Homo sapiens	1:Experimental evidence at protein level	Protein disulfide-isomerase A3	0.5153	0.9828	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	628892.0	358893.4	673857.75	395671.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P30530|UFO_HUMAN	P30530	UFO_HUMAN	AXL	894	Homo sapiens	1:Experimental evidence at protein level	Tyrosine-protein kinase receptor UFO	1.0	0.9912	3	6	6	6	0	1	3	1	1	0	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	1	3	1	1	0	0	0	0	0	2009978.1	2726987.5	3118404.5	2377692.5	2547260.8	2271495.5	2841404.8	2428928.5	2600824.2	2842459.0	934035.75	1305509.2	1316935.0	1032628.56	1049476.6	1036881.75	1174469.5	1055114.9	1231858.2	1189593.8	
sp|P31150|GDIA_HUMAN	P31150	GDIA_HUMAN	GDI1	447	Homo sapiens	1:Experimental evidence at protein level	Rab GDP dissociation inhibitor alpha	0.4776	0.98	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	385313.97	324318.12	394751.6	524079.75	292130.94	492296.22	307582.03	728579.3	364419.7	365559.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P50395|GDIB_HUMAN
sp|P32004|L1CAM_HUMAN	P32004	L1CAM_HUMAN	L1CAM	1257	Homo sapiens	1:Experimental evidence at protein level	Neural cell adhesion molecule L1	1.0	0.997	5	7	7	7	0	0	1	4	0	2	0	0	0	0	0	0	1	4	0	2	0	0	0	0	0	0	1	4	0	2	0	0	0	0	341273.38	1007863.56	1219617.0	1147288.4	833301.75	902725.25	1038907.94	441263.75	878091.5	835400.56	267377.6	484531.7	532107.4	590309.2	508691.53	475195.16	528535.94	386210.75	521425.72	415814.88	
sp|P32119|PRDX2_HUMAN	P32119	PRDX2_HUMAN	PRDX2	198	Homo sapiens	1:Experimental evidence at protein level	Peroxiredoxin-2	1.0	0.9983	5	8	8	18	0	1	1	3	0	1	0	0	1	1	0	1	1	3	0	1	0	0	1	1	1	2	2	4	1	2	1	1	2	2	1939229.9	1300010.0	934908.6	1661846.4	1148727.2	2151202.8	1299265.4	1103320.4	1121037.9	1611023.8	878368.0	559408.3	425410.8	738429.06	501667.25	979405.44	596907.3	519916.97	504001.03	691178.44	
sp|P34096|RNAS4_HUMAN	P34096	RNAS4_HUMAN	RNASE4	147	Homo sapiens	1:Experimental evidence at protein level	Ribonuclease 4	0.9325	0.9987	1	8	8	8	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1417230.8	1815735.9	1367465.2	1280576.4	1883933.1	1166108.0	1963899.6	1587946.9	2401830.5	1536480.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P35232|PHB1_HUMAN	P35232	PHB1_HUMAN	PHB1	272	Homo sapiens	1:Experimental evidence at protein level	Prohibitin 1	0.6519	0.9901	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	396665.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P35542|SAA4_HUMAN	P35542	SAA4_HUMAN	SAA4	130	Homo sapiens	1:Experimental evidence at protein level	Serum amyloid A-4 protein	1.0	0.999	5	39	39	39	6	3	2	4	4	4	2	5	5	4	6	3	2	4	4	4	2	5	5	4	6	3	2	4	4	4	2	5	5	4	1.8061684E7	6374684.0	5893592.0	1.1369658E7	1.9279592E7	1.5230862E7	8638257.0	1.6015291E7	1.4217228E7	1.5433922E7	8237349.0	2728841.5	2501067.0	4227044.5	7668931.5	5469477.5	3332512.0	7028846.5	6515321.0	6162642.0	
sp|P35612|ADDB_HUMAN	P35612	ADDB_HUMAN	ADD2	726	Homo sapiens	1:Experimental evidence at protein level	Beta-adducin	0.3856	0.9711	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P35858|ALS_HUMAN	P35858	ALS_HUMAN	IGFALS	605	Homo sapiens	1:Experimental evidence at protein level	Insulin-like growth factor-binding protein complex acid labile subunit	1.0	0.9989	3	7	7	7	2	1	0	0	0	2	0	0	2	0	2	1	0	0	0	2	0	0	2	0	2	1	0	0	0	2	0	0	2	0	3058138.2	1860798.0	1355246.2	537125.56	1118377.5	1730724.8	126509.42	1224634.4	2848422.0	1218074.4	1044808.9	767196.75	562778.2	232043.62	679340.06	693514.06	0.0	746145.4	1139972.4	718312.5	
sp|P36222|CH3L1_HUMAN	P36222	CH3L1_HUMAN	CHI3L1	383	Homo sapiens	1:Experimental evidence at protein level	Chitinase-3-like protein 1	1.0	0.999	14	118	118	118	7	16	13	12	13	10	13	10	13	11	7	16	13	12	13	10	13	10	13	11	7	16	13	12	13	10	13	10	13	11	4583596.5	3.227368E7	1.9499864E7	1.8005748E7	1.7197386E7	1.1468611E7	1.7487546E7	1.7167716E7	2.4854838E7	1.6490162E7	2697322.5	1.2442926E7	6798089.5	6598415.5	7183317.5	5206464.5	7561314.5	6808174.0	1.0282021E7	8417047.0	
sp|P36578|RL4_HUMAN	P36578	RL4_HUMAN	RPL4	427	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein uL4	1.0	0.996	3	5	5	5	1	0	0	1	0	3	0	0	0	0	1	0	0	1	0	3	0	0	0	0	1	0	0	1	0	3	0	0	0	0	832698.5	147749.62	0.0	426320.25	269324.03	1079340.4	168478.94	240361.39	381342.7	165564.73	867866.0	0.0	0.0	335029.06	0.0	1043384.94	0.0	296169.0	390879.56	0.0	
sp|P36955|PEDF_HUMAN	P36955	PEDF_HUMAN	SERPINF1	418	Homo sapiens	1:Experimental evidence at protein level	Pigment epithelium-derived factor	1.0	0.999	21	209	209	209	21	20	23	23	20	23	23	18	19	19	21	20	23	23	20	23	23	18	19	19	21	20	23	23	20	23	23	18	19	19	5.2439516E7	8.2335632E7	8.3066728E7	8.0012352E7	7.9949816E7	7.5406768E7	1.0445112E8	6.686976E7	6.7354392E7	9.0555472E7	2.2502342E7	2.8133022E7	2.889596E7	3.2147098E7	3.2880358E7	2.9598428E7	4.0182452E7	2.776505E7	2.516483E7	3.6030964E7	
sp|P37837|TALDO_HUMAN	P37837	TALDO_HUMAN	TALDO1	337	Homo sapiens	1:Experimental evidence at protein level	Transaldolase	0.5908	0.9872	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	298200.78	0.0	0.0	200181.45	0.0	449118.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P38646|HSPA9_HUMAN	P38646	HSPA9_HUMAN	HSPA9	679	Homo sapiens	1:Experimental evidence at protein level	Stress-70 protein, mitochondrial	0.9999	0.9891	2	5	5	5	1	0	0	2	0	2	0	0	0	0	1	0	0	2	0	2	0	0	0	0	1	0	0	2	0	2	0	0	0	0	720641.0	222578.6	202204.06	479106.03	378954.28	1177816.4	279503.9	485596.47	429860.47	260842.36	0.0	0.0	0.0	472358.94	0.0	1194640.1	0.0	0.0	0.0	0.0	
sp|P39060|COIA1_HUMAN	P39060	COIA1_HUMAN	COL18A1	1754	Homo sapiens	1:Experimental evidence at protein level	Collagen alpha-1(XVIII) chain	1.0	0.999	7	42	42	42	4	6	4	6	3	4	4	2	3	6	4	6	4	6	3	4	4	2	3	6	4	6	4	6	3	4	4	2	3	6	4113312.8	5694717.0	4530704.0	5203794.0	4747055.5	5471156.0	6571375.5	4922389.5	6789150.0	4399558.0	1837435.4	2275210.0	1953402.2	2341393.0	2121895.2	2282206.8	2697672.0	2134732.2	2379421.2	2007228.5	
sp|P40189|IL6RB_HUMAN	P40189	IL6RB_HUMAN	IL6ST	918	Homo sapiens	1:Experimental evidence at protein level	Interleukin-6 receptor subunit beta	1.0	0.9981	7	18	18	18	0	3	3	4	1	3	1	1	1	1	0	3	3	4	1	3	1	1	1	1	0	3	3	4	1	3	1	1	1	1	1623056.1	2647035.5	2760673.0	2722761.0	2691826.0	2215417.8	2180821.8	1964377.8	1817875.5	1964545.9	838425.9	1223182.6	1133682.2	1307455.2	1148408.9	1194342.8	1093433.5	841019.44	846047.7	1016054.5	
sp|P40429|RL13A_HUMAN	P40429	RL13A_HUMAN	RPL13A	203	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein uL13	0.562	0.9857	1	4	0	4	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	713145.1	285876.03	131285.67	634083.0	385913.84	799808.4	292279.12	631069.8	672983.75	274214.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q6NVV1|R13P3_HUMAN
sp|P40925|MDHC_HUMAN	P40925	MDHC_HUMAN	MDH1	334	Homo sapiens	1:Experimental evidence at protein level	Malate dehydrogenase, cytoplasmic	1.0	0.9989	7	21	21	21	1	2	3	5	1	3	3	1	0	2	1	2	3	5	1	3	3	1	0	2	1	2	3	5	1	3	3	1	0	2	1875658.8	3754933.0	3223006.0	4204735.5	3592786.8	3859395.8	3347289.8	2824122.0	3072313.0	3258666.5	786175.7	1125302.6	1208096.2	1810912.6	1404792.5	1569479.6	1441802.9	1146932.2	1115429.5	1388279.4	
sp|P41217|OX2G_HUMAN	P41217	OX2G_HUMAN	CD200	278	Homo sapiens	1:Experimental evidence at protein level	OX-2 membrane glycoprotein	0.8221	0.996	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0	94908.164	391075.78	474475.28	0.0	508383.66	223701.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P41222|PTGDS_HUMAN	P41222	PTGDS_HUMAN	PTGDS	190	Homo sapiens	1:Experimental evidence at protein level	Prostaglandin-H2 D-isomerase	1.0	0.999	8	91	91	91	9	9	9	9	9	9	9	9	9	10	9	9	9	9	9	9	9	9	9	10	9	9	9	9	9	9	9	9	9	10	1.18505843E9	3.39648205E9	3.13081856E9	1.56498931E9	2.06245594E9	1.82787366E9	3.05793664E9	1.58339187E9	1.8663785E9	2.18449178E9	6.9828134E8	1.52337638E9	1.28527424E9	1.00582054E9	1.0702039E9	7.9032595E8	1.62064141E9	8.2790707E8	1.15585958E9	8.4729549E8	
sp|P41271|NBL1_HUMAN	P41271	NBL1_HUMAN	NBL1	181	Homo sapiens	1:Experimental evidence at protein level	Neuroblastoma suppressor of tumorigenicity 1	0.6231	0.9888	1	9	9	9	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	4342422.5	5762917.0	5481086.5	6262632.0	3841960.0	7052423.5	5016866.5	3708653.2	0.0	3961751.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P42785|PCP_HUMAN	P42785	PCP_HUMAN	PRCP	496	Homo sapiens	1:Experimental evidence at protein level	Lysosomal Pro-X carboxypeptidase	1.0	0.9987	6	18	18	18	2	4	4	3	1	1	1	0	0	2	2	4	4	3	1	1	1	0	0	2	2	4	4	3	1	1	1	0	0	2	1512533.6	1541377.2	1830589.0	1192046.0	1704884.2	1319692.8	1512471.2	1418604.0	1346488.5	1197969.5	883057.6	889874.1	1046633.56	711311.8	1011035.0	684993.25	810529.5	866658.1	879854.06	916982.2	
sp|P42857|NSG1_HUMAN	P42857	NSG1_HUMAN	NSG1	185	Homo sapiens	1:Experimental evidence at protein level	Neuronal vesicle trafficking-associated protein 1	0.7989	0.9953	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0	524549.3	539471.75	384650.22	1032865.94	762803.94	1154317.6	0.0	0.0	1283510.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P43121|MUC18_HUMAN	P43121	MUC18_HUMAN	MCAM	646	Homo sapiens	1:Experimental evidence at protein level	Cell surface glycoprotein MUC18	1.0	0.999	12	69	69	69	7	9	9	10	8	12	5	2	1	6	7	9	9	10	8	12	5	2	1	6	7	9	9	10	8	12	5	2	1	6	5412840.0	6960510.5	7845168.0	6598600.0	7970484.0	1.1077162E7	6324644.0	4196137.0	3975162.8	5589661.0	2038259.5	2938046.2	3065027.5	2718721.8	3255786.0	4304348.5	2821243.5	1958889.8	1808301.2	2453913.5	
sp|P43251|BTD_HUMAN	P43251	BTD_HUMAN	BTD	543	Homo sapiens	1:Experimental evidence at protein level	Biotinidase	1.0	0.9989	6	44	44	44	6	7	4	4	4	4	3	4	5	3	6	7	4	4	4	4	3	4	5	3	6	7	4	4	4	4	3	4	5	3	6408605.5	8021885.0	6542013.0	7038217.5	7748472.5	5313032.5	7565443.5	6099991.0	6420736.0	5430572.0	2762418.0	3983883.0	2581700.2	2804063.8	2867480.8	2343717.8	2807755.2	2358324.5	3894089.5	1980347.4	
sp|P43652|AFAM_HUMAN	P43652	AFAM_HUMAN	AFM	599	Homo sapiens	1:Experimental evidence at protein level	Afamin	1.0	0.999	13	112	112	112	12	12	12	11	10	12	11	11	10	11	12	12	12	11	10	12	11	11	10	11	12	12	12	11	10	12	11	11	10	11	2.2596642E7	1.0161738E7	1.1901203E7	9289789.0	1.5813138E7	1.8983968E7	1.132595E7	1.1661969E7	1.5149388E7	1.071389E7	7550287.0	4272881.0	4894948.0	4016393.8	6748983.0	5702738.5	5162980.5	5238568.5	6490437.0	4694362.5	
sp|P45877|PPIC_HUMAN	P45877	PPIC_HUMAN	PPIC	212	Homo sapiens	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase C	0.7649	0.9943	1	5	5	5	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	1	1	0	0	0	154139.42	473093.5	524947.3	226930.66	318282.84	409056.6	505619.7	382661.12	357880.38	361430.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P46776|RL27A_HUMAN	P46776	RL27A_HUMAN	RPL27A	148	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein uL15	0.8732	0.9973	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1300128.6	240004.14	0.0	461071.0	115168.22	1237099.1	0.0	287836.78	466602.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P46779|RL28_HUMAN	P46779	RL28_HUMAN	RPL28	137	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL28	0.3933	0.972	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	575308.56	239036.95	0.0	433585.78	235943.02	551584.6	0.0	0.0	478622.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P46781|RS9_HUMAN	P46781	RS9_HUMAN	RPS9	194	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS4	1.0	0.9949	2	4	4	4	1	0	0	1	0	2	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	1	0	2	0	0	0	0	579680.7	290813.03	0.0	377532.72	319753.88	844229.6	320374.4	0.0	771783.7	159002.7	577170.6	0.0	0.0	0.0	0.0	847901.06	0.0	0.0	0.0	0.0	
sp|P46782|RS5_HUMAN	P46782	RS5_HUMAN	RPS5	204	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS7	0.4158	0.9745	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	240731.14	0.0	420483.03	0.0	0.0	350580.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P47914|RL29_HUMAN	P47914	RL29_HUMAN	RPL29	159	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL29	1.0	0.9962	2	5	5	5	0	1	0	1	0	2	0	1	0	0	0	1	0	1	0	2	0	1	0	0	0	1	0	1	0	2	0	1	0	0	1760567.2	906113.94	614278.75	1285724.1	1029895.1	2196138.2	955389.44	1459078.2	1884946.8	798070.25	1089510.8	584840.2	390930.78	814471.4	664386.1	1374338.9	604212.25	914964.56	1186916.8	503260.03	
sp|P47972|NPTX2_HUMAN	P47972	NPTX2_HUMAN	NPTX2	431	Homo sapiens	1:Experimental evidence at protein level	Neuronal pentraxin-2	1.0	0.9989	6	10	10	10	0	1	3	5	0	1	0	0	0	0	0	1	3	5	0	1	0	0	0	0	0	1	3	5	0	1	0	0	0	0	0.0	1379949.0	1744927.9	2066381.2	757077.4	1380725.5	1698705.2	213021.31	270247.6	1206031.5	0.0	509515.75	891047.5	1004063.1	576282.7	917328.1	698238.06	0.0	722625.94	533083.4	
sp|P48058|GRIA4_HUMAN	P48058	GRIA4_HUMAN	GRIA4	902	Homo sapiens	1:Experimental evidence at protein level	Glutamate receptor 4	1.0	0.9984	4	13	13	13	0	3	3	2	1	1	2	0	0	1	0	3	3	2	1	1	2	0	0	1	0	3	3	2	1	1	2	0	0	1	1216215.9	2193037.5	1868270.2	1742444.1	1423454.9	3041874.5	1297040.2	581899.1	1729969.2	1169429.9	691283.25	1157934.6	899247.3	827743.5	614322.56	1165658.5	642571.44	476757.72	909670.44	570734.75	
